I (28667) FLEX+GYRO_DFPLAYER: Thumb:1048 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-111 Z:226
I (28967) FLEX+GYRO_DFPLAYER: Thumb:1112 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-125 Z:215
I (29267) FLEX+GYRO_DFPLAYER: Thumb:1139 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-105 Z:210
I (29567) FLEX+GYRO_DFPLAYER: Thumb:1084 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-106 Y:-105 Z:207
I (29867) FLEX+GYRO_DFPLAYER: Thumb:1066 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-101 Y:-99 Z:196
I (30167) FLEX+GYRO_DFPLAYER: Thumb:857 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-117 Z:197
I (30467) FLEX+GYRO_DFPLAYER: Thumb:876 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-120 Z:200
I (30767) FLEX+GYRO_DFPLAYER: Thumb:1040 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-106 Y:-119 Z:191
I (30767) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (31277) FLEX+GYRO_DFPLAYER: Thumb:981 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-103 Z:191
I (31577) FLEX+GYRO_DFPLAYER: Thumb:774 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-80 Y:-103 Z:217
I (31877) FLEX+GYRO_DFPLAYER: Thumb:692 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-123 Y:-121 Z:206
I (32177) FLEX+GYRO_DFPLAYER: Thumb:688 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-108 Z:216
I (32477) FLEX+GYRO_DFPLAYER: Thumb:633 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-106 Z:214
I (32777) FLEX+GYRO_DFPLAYER: Thumb:546 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-100 Y:-159 Z:207
I (33077) FLEX+GYRO_DFPLAYER: Thumb:573 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-140 Z:215
I (33377) FLEX+GYRO_DFPLAYER: Thumb:684 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-94 Y:-118 Z:207
I (33677) FLEX+GYRO_DFPLAYER: Thumb:657 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-130 Y:-129 Z:211
I (33977) FLEX+GYRO_DFPLAYER: Thumb:1072 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-120 Z:209
I (33977) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (34487) FLEX+GYRO_DFPLAYER: Thumb:1089 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-128 Z:211
I (34787) FLEX+GYRO_DFPLAYER: Thumb:1106 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-112 Z:191
I (35087) FLEX+GYRO_DFPLAYER: Thumb:1067 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-118 Z:203
I (35387) FLEX+GYRO_DFPLAYER: Thumb:962 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-98 Z:230
I (35687) FLEX+GYRO_DFPLAYER: Thumb:1023 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-93 Y:-143 Z:208
I (35687) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (36197) FLEX+GYRO_DFPLAYER: Thumb:1114 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-89 Y:-129 Z:207
I (36497) FLEX+GYRO_DFPLAYER: Thumb:1166 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-85 Y:-104 Z:214
I (36797) FLEX+GYRO_DFPLAYER: Thumb:1133 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-104 Y:-144 Z:220
I (37097) FLEX+GYRO_DFPLAYER: Thumb:1022 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-125 Z:216
I (37397) FLEX+GYRO_DFPLAYER: Thumb:1052 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-111 Y:-119 Z:217
I (37697) FLEX+GYRO_DFPLAYER: Thumb:912 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-125 Z:231
I (37997) FLEX+GYRO_DFPLAYER: Thumb:1075 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-90 Y:-87 Z:191
I (37997) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (38507) FLEX+GYRO_DFPLAYER: Thumb:1135 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-94 Y:-136 Z:231
I (38807) FLEX+GYRO_DFPLAYER: Thumb:1111 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-121 Y:-106 Z:217
I (39107) FLEX+GYRO_DFPLAYER: Thumb:967 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-100 Y:-137 Z:224
I (39407) FLEX+GYRO_DFPLAYER: Thumb:903 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-77 Y:-139 Z:213
I (39707) FLEX+GYRO_DFPLAYER: Thumb:944 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-132 Z:228
I (40007) FLEX+GYRO_DFPLAYER: Thumb:1049 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-115 Z:202
I (40007) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (40517) FLEX+GYRO_DFPLAYER: Thumb:766 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-75 Y:-112 Z:200
I (40817) FLEX+GYRO_DFPLAYER: Thumb:943 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-103 Z:235
I (41117) FLEX+GYRO_DFPLAYER: Thumb:875 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-100 Y:-144 Z:225
I (41417) FLEX+GYRO_DFPLAYER: Thumb:827 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-80 Y:-109 Z:191
I (41717) FLEX+GYRO_DFPLAYER: Thumb:857 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-127 Z:199
I (42017) FLEX+GYRO_DFPLAYER: Thumb:872 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-134 Z:219
I (42317) FLEX+GYRO_DFPLAYER: Thumb:829 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-93 Y:-122 Z:216
I (42617) FLEX+GYRO_DFPLAYER: Thumb:761 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-109 Y:-120 Z:213
I (42917) FLEX+GYRO_DFPLAYER: Thumb:739 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-113 Z:228
I (43217) FLEX+GYRO_DFPLAYER: Thumb:919 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-133 Z:195
I (43517) FLEX+GYRO_DFPLAYER: Thumb:925 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-107 Y:-121 Z:203
I (43817) FLEX+GYRO_DFPLAYER: Thumb:894 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-116 Y:-1362 Z:205
I (44117) FLEX+GYRO_DFPLAYER: Thumb:930 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-108 Y:-187 Z:203
I (44417) FLEX+GYRO_DFPLAYER: Thumb:909 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-143 Y:-252 Z:199
I (44717) FLEX+GYRO_DFPLAYER: Thumb:814 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-81 Y:-107 Z:200
I (45017) FLEX+GYRO_DFPLAYER: Thumb:788 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-128 Z:204
I (45317) FLEX+GYRO_DFPLAYER: Thumb:740 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-114 Z:215
I (45617) FLEX+GYRO_DFPLAYER: Thumb:656 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-123 Z:232
I (45917) FLEX+GYRO_DFPLAYER: Thumb:741 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-81 Y:-118 Z:218
I (46217) FLEX+GYRO_DFPLAYER: Thumb:846 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-74 Y:-116 Z:211
I (46517) FLEX+GYRO_DFPLAYER: Thumb:847 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-111 Z:197
I (46817) FLEX+GYRO_DFPLAYER: Thumb:841 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-135 Z:210
I (47117) FLEX+GYRO_DFPLAYER: Thumb:678 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-96 Y:-122 Z:230
I (47417) FLEX+GYRO_DFPLAYER: Thumb:705 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-90 Y:-123 Z:201
I (47717) FLEX+GYRO_DFPLAYER: Thumb:478 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-89 Y:-141 Z:212
I (48017) FLEX+GYRO_DFPLAYER: Thumb:359 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-119 Z:210
I (48317) FLEX+GYRO_DFPLAYER: Thumb:253 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-87 Y:-130 Z:215
I (48617) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-116 Z:207
I (48917) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-106 Y:-131 Z:236
I (49217) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-93 Y:-140 Z:198
I (49517) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-108 Z:210
I (49817) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-118 Z:207
I (50117) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-76 Y:-122 Z:208
I (50417) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-89 Z:215
I (50717) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-122 Z:203
I (51017) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-96 Y:-131 Z:213
I (51317) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-118 Z:210
I (51617) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-102 Y:-125 Z:214
I (51917) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-128 Z:215
I (52217) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-103 Z:209
I (52517) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-86 Y:-118 Z:188
I (52817) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:434 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-126 Z:187
I (53117) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:347 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-94 Y:-125 Z:215
I (53417) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-96 Z:229
